№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
518,ムシャーナ,Musharna,116,55,85,107,95,29,487,エスパー,,"よちむ
シンクロ
(テレパシー)",1.1,60.5,75,1:1,170,70,HP+2,陸上,2805,80万,0.5
519,マメパト,Pidove,50,55,50,36,30,43,264,ノーマル,ひこう,"はとむね
きょううん
(とうそうしん)",0.3,2.1,255,1:1,53,70,攻撃+1,飛行,4080,106万,0.5
520,ハトーボー,Tranquill,62,77,62,50,42,65,358,ノーマル,ひこう,"はとむね
きょううん
(とうそうしん)",0.6,15.0,120,1:1,125,70,攻撃+2,飛行,4080,106万,0.5
521,ケンホロウ,Unfezant,80,115,80,65,55,93,488,ノーマル,ひこう,"はとむね
きょううん
(とうそうしん)",1.2,29.0,45,1:1,220,70,攻撃+3,飛行,4080,106万,0.5
522,シママ,Blitzle,45,60,32,50,32,76,295,でんき,,"ひらいしん
でんきエンジン
(そうしょく)",0.8,29.8,190,1:1,59,70,素早+1,陸上,5355,100万,0.5
523,ゼブライカ,Zebstrika,75,100,63,80,63,116,497,でんき,,"ひらいしん
でんきエンジン
(そうしょく)",1.6,79.5,75,1:1,174,70,素早+2,陸上,5355,100万,0.5
524,ダンゴロ,Roggenrola,55,75,85,25,25,15,280,いわ,,"がんじょう
くだけるよろい
(すなのちから)",0.4,18.0,255,1:1,56,70,防御+1,鉱物,4080,106万,0.5
525,ガントル,Boldore,70,105,105,50,40,20,390,いわ,,"がんじょう
くだけるよろい
(すなのちから)",0.9,102.0,120,1:1,137,70,"攻撃+1
防御+1",鉱物,4080,106万,0.5
526,ギガイアス,Gigalith,85,135,130,60,80,25,515,いわ,,"がんじょう
すなおこし
(すなのちから)",1.7,260.0,45,1:1,232,70,攻撃+3,鉱物,4080,106万,0.5
527,コロモリ,Woobat,65,45,43,55,43,72,323,エスパー,ひこう,"てんねん
ぶきよう
(たんじゅん)",0.4,2.1,190,1:1,65,70,素早+1,"陸上
飛行",4080,100万,0.5
528,ココロモリ,Swoobat,67,57,55,77,55,114,425,エスパー,ひこう,"てんねん
ぶきよう
(たんじゅん)",0.9,10.5,45,1:1,149,70,素早+2,"陸上
飛行",4080,100万,0.5
529,モグリュー,Drilbur,60,85,40,30,45,68,328,じめん,,"すなかき
すなのちから
(かたやぶり)",0.3,8.5,120,1:1,66,70,攻撃+1,陸上,5355,100万,0.5
530,ドリュウズ,Excadrill,110,135,60,50,65,88,508,じめん,はがね,"すなかき
すなのちから
(かたやぶり)",0.7,40.4,60,1:1,178,70,攻撃+2,陸上,5355,100万,0.5
531,タブンネ,Audino,103,60,86,60,86,50,445,ノーマル,,"いやしのこころ
さいせいりょく
(ぶきよう)",1.1,31.0,255,1:1,390,70,HP+2,妖精,5355,80万,0.5
531-1,メガタブンネ,Mega Audino,103,60,126,80,126,50,545,ノーマル,フェアリー,いやしのこころ,1.5,32.0,255,1:1,425,70,HP+2,妖精,5355,80万,0.5
532,ドッコラー,Timburr,75,80,55,25,35,35,305,かくとう,,"こんじょう
ちからずく
(てつのこぶし)",0.6,12.5,180,7:1,61,70,攻撃+1,人型,5355,106万,0.875
533,ドテッコツ,Gurdurr,85,105,85,40,50,40,405,かくとう,,"こんじょう
ちからずく
(てつのこぶし)",1.2,40.0,90,7:1,142,70,攻撃+2,人型,5355,106万,0.875
534,ローブシン,Conkeldurr,105,140,95,55,65,45,505,かくとう,,"こんじょう
ちからずく
(てつのこぶし)",1.4,87.0,45,7:1,227,70,攻撃+3,人型,5355,106万,0.875
535,オタマロ,Tympole,50,50,40,50,40,64,294,みず,,"すいすい
うるおいボディ
(ちょすい)",0.5,4.5,255,1:1,59,70,素早+1,水中1,5355,106万,0.5
536,ガマガル,Palpitoad,75,65,55,65,55,69,384,みず,じめん,"すいすい
うるおいボディ
(ちょすい)",0.8,17.0,120,1:1,134,70,HP+2,水中1,5355,106万,0.5
537,ガマゲロゲ,Seismitoad,105,95,75,85,75,74,509,みず,じめん,"すいすい
どくしゅ
(ちょすい)",1.5,62.0,45,1:1,229,70,HP+3,水中1,5355,106万,0.5
538,ナゲキ,Throh,120,100,85,30,85,45,465,かくとう,,"こんじょう
せいしんりょく
(かたやぶり)",1.3,55.5,45,♂,163,70,HP+2,人型,5355,100万,1.0
539,ダゲキ,Sawk,75,125,75,30,75,85,465,かくとう,,"がんじょう
せいしんりょく
(かたやぶり)",1.4,51.0,45,♂,163,70,攻撃+2,人型,5355,100万,1.0
540,クルミル,Sewaddle,45,53,70,40,60,42,310,むし,くさ,"むしのしらせ
ようりょくそ
(ぼうじん)",0.3,2.5,255,1:1,62,70,防御+1,虫,4080,106万,0.5
541,クルマユ,Swadloon,55,63,90,50,80,42,380,むし,くさ,"リーフガード
ようりょくそ
(ぼうじん)",0.5,7.3,120,1:1,133,70,防御+2,虫,4080,106万,0.5
542,ハハコモリ,Leavanny,75,103,80,70,80,92,500,むし,くさ,"むしのしらせ
ようりょくそ
(ぼうじん)",1.2,20.5,45,1:1,225,70,攻撃+3,虫,4080,106万,0.5
543,フシデ,Venipede,30,45,59,30,39,57,260,むし,どく,"どくのトゲ
むしのしらせ
(かそく)",0.4,5.3,255,1:1,52,70,防御+1,虫,5355,106万,0.5
544,ホイーガ,Whirlipede,40,55,99,40,79,47,360,むし,どく,"どくのトゲ
むしのしらせ
(かそく)",1.2,58.5,120,1:1,126,70,防御+2,虫,5355,106万,0.5
545,ペンドラー,Scolipede,60,100,89,55,69,112,485,むし,どく,"どくのトゲ
むしのしらせ
(かそく)",2.5,200.5,45,1:1,218,70,素早+3,虫,5355,106万,0.5
546,モンメン,Cottonee,40,27,60,37,50,66,280,くさ,フェアリー,"いたずらごころ
すりぬけ
(ようりょくそ)",0.3,0.6,190,1:1,56,70,素早+1,"植物
妖精",5355,100万,0.5
547,エルフーン,Whimsicott,60,67,85,77,75,116,480,くさ,フェアリー,"いたずらごころ
すりぬけ
(ようりょくそ)",0.7,6.6,75,1:1,168,70,素早+2,"植物
妖精",5355,100万,0.5
548,チュリネ,Petilil,45,35,50,70,50,30,280,くさ,,"ようりょくそ
マイペース
(リーフガード)",0.5,6.6,190,♀,56,70,特攻+1,植物,5355,100万,0.0
549,ドレディア,Lilligant,70,60,75,110,75,90,480,くさ,,"ようりょくそ
マイペース
(リーフガード)",1.1,16.3,75,♀,168,70,特攻+2,植物,5355,100万,0.0
550,バスラオ赤,Basculin Red,70,92,65,80,55,98,460,みず,,"すてみ
てきおうりょく
(かたやぶり)",1.0,18.0,25,1:1,161,70,素早+2,水中2,10455,100万,0.5
550-1,バスラオ青,Basculin Blue,70,92,65,80,55,98,460,みず,,"いしあたま
てきおうりょく
(かたやぶり)",1.0,18.0,25,1:1,161,70,素早+2,水中2,10455,100万,0.5
551,メグロコ,Sandile,50,72,35,35,35,65,292,じめん,あく,"いかく
じしんかじょう
(いかりのつぼ)",0.7,15.2,180,1:1,58,70,攻撃+1,陸上,5355,106万,0.5
552,ワルビル,Krokorok,60,82,45,45,45,74,351,じめん,あく,"いかく
じしんかじょう
(いかりのつぼ)",1.0,33.4,90,1:1,123,70,攻撃+2,陸上,5355,106万,0.5
553,ワルビアル,Krookodile,95,117,80,65,70,92,519,じめん,あく,"いかく
じしんかじょう
(いかりのつぼ)",1.5,96.3,45,1:1,234,70,攻撃+3,陸上,5355,106万,0.5
554,ダルマッカ,Darumaka,70,90,45,15,45,50,315,ほのお,,"はりきり
(せいしんりょく)",0.6,37.5,120,1:1,63,70,攻撃+1,陸上,5355,106万,0.5
555,ヒヒダルマN,Darmanitan Std,105,140,55,30,55,95,480,ほのお,,"ちからずく
(ダルマモード)",1.3,92.9,60,1:1,168,70,攻撃+2,陸上,5355,106万,0.5
555-1,ヒヒダルマD,Darmanitan Zen,105,30,105,140,105,55,540,ほのお,エスパー,"ちからずく
(ダルマモード)",1.3,92.9,60,1:1,189,70,特攻+2,陸上,5355,106万,0.5
556,マラカッチ,Maractus,75,86,67,106,67,60,461,くさ,,"ちょすい
ようりょくそ
(よびみず)",1.0,28.0,255,1:1,161,70,特攻+2,植物,5355,100万,0.5
557,イシズマイ,Dwebble,50,65,85,35,35,55,325,むし,いわ,"がんじょう
シェルアーマー
(くだけるよろい)",0.3,14.5,190,1:1,65,70,防御+1,"虫
鉱物",5355,100万,0.5
558,イワパレス,Crustle,70,105,125,65,75,45,485,むし,いわ,"がんじょう
シェルアーマー
(くだけるよろい)",1.4,200.0,75,1:1,170,70,防御+2,"虫
鉱物",5355,100万,0.5
559,ズルッグ,Scraggy,50,75,70,35,70,48,348,あく,かくとう,"だっぴ
じしんかじょう
(いかく)",0.6,11.8,180,1:1,70,35,攻撃+1,"陸上
ドラゴン",4080,100万,0.5
560,ズルズキン,Scrafty,65,90,115,45,115,58,488,あく,かくとう,"だっぴ
じしんかじょう
(いかく)",1.1,30.0,90,1:1,171,70,"防御+1
特防+1","陸上
ドラゴン",4080,100万,0.5
561,シンボラー,Sigilyph,72,58,80,103,80,97,490,エスパー,ひこう,"ミラクルスキン
マジックガード
(いろめがね)",1.4,14.0,45,1:1,172,70,特攻+2,飛行,5355,100万,0.5
562,デスマス,Yamask,38,30,85,55,65,30,303,ゴースト,,ミイラ,0.5,1.5,190,1:1,61,70,防御+1,"鉱物
不定形",6630,100万,0.5
563,デスカーン,Cofagrigus,58,50,145,95,105,30,483,ゴースト,,ミイラ,1.7,76.5,90,1:1,169,70,防御+2,"鉱物
不定形",6630,100万,0.5
564,プロトーガ,Tirtouga,54,78,103,53,45,22,355,みず,いわ,"ハードロック
がんじょう
(すいすい)",0.7,16.5,45,7:1,71,70,防御+1,"水中1
水中3",7905,100万,0.875
565,アバゴーラ,Carracosta,74,108,133,83,65,32,495,みず,いわ,"ハードロック
がんじょう
(すいすい)",1.2,81.0,45,7:1,173,70,防御+2,"水中1
水中3",7905,100万,0.875
566,アーケン,Archen,55,112,45,74,45,70,401,いわ,ひこう,よわき,0.5,9.5,45,7:1,71,70,攻撃+1,"飛行
水中3",7905,100万,0.875
567,アーケオス,Archeops,75,140,65,112,65,110,567,いわ,ひこう,よわき,1.4,32.0,45,7:1,177,70,攻撃+2,"飛行
水中3",7905,100万,0.875
568,ヤブクロン,Trubbish,50,50,62,40,62,65,329,どく,,"あくしゅう
ねんちゃく
(ゆうばく)",0.6,31.0,190,1:1,66,70,素早+1,鉱物,5355,100万,0.5
569,ダストダス,Garbodor,80,95,82,60,82,75,474,どく,,"あくしゅう
くだけるよろい
(ゆうばく)",1.9,107.3,60,1:1,166,70,攻撃+2,鉱物,5355,100万,0.5
570,ゾロア,Zorua,40,65,40,80,40,65,330,あく,,イリュージョン,0.7,12.5,75,7:1,66,70,特攻+1,陸上,6630,106万,0.875
571,ゾロアーク,Zoroark,60,105,60,120,60,105,510,あく,,イリュージョン,1.6,81.1,45,7:1,179,70,特攻+2,陸上,6630,106万,0.875
572,チラーミィ,Minccino,55,50,40,40,40,75,300,ノーマル,,"メロメロボディ
テクニシャン
(スキルリンク)",0.4,5.8,255,1:7,60,70,素早+1,陸上,4080,80万,0.125
573,チラチーノ,Cinccino,75,95,60,65,60,115,470,ノーマル,,"メロメロボディ
テクニシャン
(スキルリンク)",0.5,7.5,60,1:7,165,70,素早+2,陸上,4080,80万,0.125
574,ゴチム,Gothita,45,30,50,55,65,45,290,エスパー,,"おみとおし
かちき
(かげふみ)",0.4,5.8,200,1:3,58,70,特防+1,人型,5355,106万,0.25
575,ゴチミル,Gothorita,60,45,70,75,85,55,390,エスパー,,"おみとおし
かちき
(かげふみ)",0.7,18.0,100,1:3,137,70,特防+2,人型,5355,106万,0.25
576,ゴチルゼル,Gothitelle,70,55,95,95,110,65,490,エスパー,,"おみとおし
かちき
(かげふみ)",1.5,44.0,50,1:3,221,70,特防+3,人型,5355,106万,0.25
577,ユニラン,Solosis,45,30,40,105,50,20,290,エスパー,,"ぼうじん
マジックガード
(さいせいりょく)",0.3,1.0,200,1:1,58,70,特攻+1,不定形,5355,106万,0.5
578,ダブラン,Duosion,65,40,50,125,60,30,370,エスパー,,"ぼうじん
マジックガード
(さいせいりょく)",0.6,8.0,100,1:1,130,70,特攻+2,不定形,5355,106万,0.5
579,ランクルス,Reuniclus,110,65,75,125,85,30,490,エスパー,,"ぼうじん
マジックガード
(さいせいりょく)",1.0,20.1,50,1:1,221,70,特攻+3,不定形,5355,106万,0.5
580,コアルヒー,Ducklett,62,44,50,44,50,55,305,みず,ひこう,"するどいめ
はとむね
(うるおいボディ)",0.5,5.5,190,1:1,61,70,HP+1,"水中1
飛行",5355,100万,0.5
581,スワンナ,Swanna,75,87,63,87,63,98,473,みず,ひこう,"するどいめ
はとむね
(うるおいボディ)",1.3,24.2,45,1:1,166,70,素早+2,"水中1
飛行",5355,100万,0.5
582,バニプッチ,Vanillite,36,50,50,65,60,44,305,こおり,,"アイスボディ
ゆきがくれ
(くだけるよろい)",0.4,5.7,255,1:1,61,70,特攻+1,鉱物,5355,125万,0.5
583,バニリッチ,Vanillish,51,65,65,80,75,59,395,こおり,,"アイスボディ
ゆきがくれ
(くだけるよろい)",1.1,41.0,120,1:1,138,70,特攻+2,鉱物,5355,125万,0.5
584,バイバニラ,Vanilluxe,71,95,85,110,95,79,535,こおり,,"アイスボディ
ゆきふらし
(くだけるよろい)",1.3,57.5,45,1:1,241,70,特攻+3,鉱物,5355,125万,0.5
585,シキジカ,Deerling,60,60,50,40,50,75,335,ノーマル,くさ,"ようりょくそ
そうしょく
(てんのめぐみ)",0.6,19.5,190,1:1,67,70,素早+1,陸上,5355,100万,0.5
586,メブキジカ,Sawsbuck,80,100,70,60,70,95,475,ノーマル,くさ,"ようりょくそ
そうしょく
(てんのめぐみ)",1.9,92.5,75,1:1,166,70,攻撃+2,陸上,5355,100万,0.5
587,エモンガ,Emolga,55,75,60,75,60,103,428,でんき,ひこう,"せいでんき
(でんきエンジン)",0.4,5.0,200,1:1,150,70,素早+2,陸上,5355,100万,0.5
588,カブルモ,Karrablast,50,75,45,40,45,60,315,むし,,"むしのしらせ
だっぴ
(ノーガード)",0.5,5.9,200,1:1,63,70,攻撃+1,虫,4080,100万,0.5
589,シュバルゴ,Escavalier,70,135,105,60,105,20,495,むし,はがね,"むしのしらせ
シェルアーマー
(ぼうじん)",1.0,33.0,75,1:1,173,70,攻撃+2,虫,4080,100万,0.5
590,タマゲタケ,Foongus,69,55,45,55,55,15,294,くさ,どく,"ほうし
(さいせいりょく)",0.2,1.0,190,1:1,59,70,HP+1,植物,5355,100万,0.5
591,モロバレル,Amoonguss,114,85,70,85,80,30,464,くさ,どく,"ほうし
(さいせいりょく)",0.6,10.5,75,1:1,162,70,HP+2,植物,5355,100万,0.5
592,プルリル,Frillish,55,40,50,65,85,40,335,みず,ゴースト,"ちょすい
のろわれボディ
(しめりけ)",1.2,33.0,190,1:1,67,70,特防+1,不定形,5355,100万,0.5
593,ブルンゲル,Jellicent,100,60,70,85,105,60,480,みず,ゴースト,"ちょすい
のろわれボディ
(しめりけ)",2.2,135.0,60,1:1,168,70,特防+2,不定形,5355,100万,0.5
594,ママンボウ,Alomomola,165,75,80,40,45,65,470,みず,,"いやしのこころ
うるおいボディ
(さいせいりょく)",1.2,31.6,75,1:1,165,70,HP+2,"水中1
水中2",10455,80万,0.5
595,バチュル,Joltik,50,47,50,57,50,65,319,むし,でんき,"ふくがん
きんちょうかん
(むしのしらせ)",0.1,0.6,190,1:1,64,70,素早+1,虫,5355,100万,0.5
596,デンチュラ,Galvantula,70,77,60,97,60,108,472,むし,でんき,"ふくがん
きんちょうかん
(むしのしらせ)",0.8,14.3,75,1:1,165,70,素早+2,虫,5355,100万,0.5
597,テッシード,Ferroseed,44,50,91,24,86,10,305,くさ,はがね,"てつのトゲ
(てつのトゲ)",0.6,18.8,255,1:1,61,70,防御+1,"植物
鉱物",5355,100万,0.5
598,ナットレイ,Ferrothorn,74,94,131,54,116,20,489,くさ,はがね,"てつのトゲ
(きけんよち)",1.0,110.0,90,1:1,171,70,防御+2,"植物
鉱物",5355,100万,0.5
599,ギアル,Klink,40,55,70,45,60,30,300,はがね,,"プラス
マイナス
(クリアボディ)",0.3,21.0,130,不明,60,70,防御+1,鉱物,5355,106万,
600,ギギアル,Klang,60,80,95,70,85,50,440,はがね,,"プラス
マイナス
(クリアボディ)",0.6,51.0,60,不明,154,70,防御+2,鉱物,5355,106万,
601,ギギギアル,Klinklang,60,100,115,70,85,90,520,はがね,,"プラス
マイナス
(クリアボディ)",0.6,81.0,30,不明,234,70,防御+3,鉱物,5355,106万,
602,シビシラス,Tynamo,35,55,40,45,40,60,275,でんき,,ふゆう,0.2,0.3,190,1:1,55,70,素早+1,不定形,5355,125万,0.5
603,シビビール,Eelektrik,65,85,70,75,70,40,405,でんき,,ふゆう,1.2,22.0,60,1:1,142,70,攻撃+2,不定形,5355,125万,0.5
604,シビルドン,Eelektross,85,115,80,105,80,50,515,でんき,,ふゆう,2.1,80.5,30,1:1,232,70,攻撃+3,不定形,5355,125万,0.5
605,リグレー,Elgyem,55,55,55,85,55,30,335,エスパー,,"テレパシー
シンクロ
(アナライズ)",0.5,9.0,255,1:1,67,70,特攻+1,人型,5355,100万,0.5
606,オーベム,Beheeyem,75,75,75,125,95,40,485,エスパー,,"テレパシー
シンクロ
(アナライズ)",1.0,34.5,90,1:1,170,70,特攻+2,人型,5355,100万,0.5
607,ヒトモシ,Litwick,50,30,55,65,55,20,275,ゴースト,ほのお,"もらいび
ほのおのからだ
(すりぬけ)",0.3,3.1,190,1:1,55,70,特攻+1,不定形,5355,106万,0.5
608,ランプラー,Lampent,60,40,60,95,60,55,370,ゴースト,ほのお,"もらいび
ほのおのからだ
(すりぬけ)",0.6,13.0,90,1:1,130,70,特攻+2,不定形,5355,106万,0.5
609,シャンデラ,Chandelure,60,55,90,145,90,80,520,ゴースト,ほのお,"もらいび
ほのおのからだ
(すりぬけ)",1.0,34.3,45,1:1,234,70,特攻+3,不定形,5355,106万,0.5
610,キバゴ,Axew,46,87,60,30,40,57,320,ドラゴン,,"とうそうしん
かたやぶり
(きんちょうかん)",0.6,18.0,75,1:1,64,35,攻撃+1,"怪獣
ドラゴン",10455,125万,0.5
611,オノンド,Fraxure,66,117,70,40,50,67,410,ドラゴン,,"とうそうしん
かたやぶり
(きんちょうかん)",1.0,36.0,60,1:1,144,35,攻撃+2,"怪獣
ドラゴン",10455,125万,0.5
612,オノノクス,Haxorus,76,147,90,60,70,97,540,ドラゴン,,"とうそうしん
かたやぶり
(きんちょうかん)",1.8,105.5,45,1:1,243,35,攻撃+3,"怪獣
ドラゴン",10455,125万,0.5
613,クマシュン,Cubchoo,55,70,40,60,40,40,305,こおり,,"ゆきがくれ
ゆきかき
(びびり)",0.5,8.5,120,1:1,61,70,攻撃+1,陸上,5355,100万,0.5
614,ツンベアー,Beartic,95,130,80,70,80,50,505,こおり,,"ゆきがくれ
ゆきかき
(すいすい)",2.6,260.0,60,1:1,177,70,攻撃+2,陸上,5355,100万,0.5
615,フリージオ,Cryogonal,80,50,50,95,135,105,515,こおり,,ふゆう,1.1,148.0,25,不明,180,70,特防+2,鉱物,6630,100万,
616,チョボマキ,Shelmet,50,40,85,40,65,25,305,むし,,"うるおいボディ
シェルアーマー
(ぼうじん)",0.4,7.7,200,1:1,61,70,防御+1,虫,4080,100万,0.5
617,アギルダー,Accelgor,80,70,40,100,60,145,495,むし,,"うるおいボディ
ねんちゃく
(かるわざ)",0.8,25.3,75,1:1,173,70,素早+2,虫,4080,100万,0.5
618,マッギョ,Stunfisk,109,66,84,81,99,32,471,じめん,でんき,"せいでんき
じゅうなん
(すながくれ)",0.7,11.0,75,1:1,165,70,HP+2,"水中1
不定形",5355,100万,0.5
619,コジョフー,Mienfoo,45,85,50,55,50,65,350,かくとう,,"せいしんりょく
さいせいりょく
(すてみ)",0.9,20.0,180,1:1,70,70,攻撃+1,"陸上
人型",6630,106万,0.5
620,コジョンド,Mienshao,65,125,60,95,60,105,510,かくとう,,"せいしんりょく
さいせいりょく
(すてみ)",1.4,35.5,45,1:1,179,70,攻撃+2,"陸上
人型",6630,106万,0.5
621,クリムガン,Druddigon,77,120,90,60,90,48,485,ドラゴン,,"さめはだ
ちからずく
(かたやぶり)",1.6,139.0,45,1:1,170,70,攻撃+2,"ドラゴン
怪獣",7905,100万,0.5
622,ゴビット,Golett,59,74,50,35,50,35,303,じめん,ゴースト,"てつのこぶし
ぶきよう
(ノーガード)",1.0,92.0,190,不明,61,70,攻撃+1,鉱物,6630,100万,
623,ゴルーグ,Golurk,89,124,80,55,80,55,483,じめん,ゴースト,"てつのこぶし
ぶきよう
(ノーガード)",2.8,330.0,90,不明,169,70,攻撃+2,鉱物,6630,100万,
624,コマタナ,Pawniard,45,85,70,40,40,60,340,あく,はがね,"まけんき
せいしんりょく
(プレッシャー)",0.5,10.2,120,1:1,68,35,攻撃+1,人型,5355,100万,0.5
625,キリキザン,Bisharp,65,125,100,60,70,70,490,あく,はがね,"まけんき
せいしんりょく
(プレッシャー)",1.6,70.0,45,1:1,172,35,攻撃+2,人型,5355,100万,0.5
626,バッフロン,Bouffalant,95,110,95,40,95,55,490,ノーマル,,"すてみ
そうしょく
(ぼうおん)",1.6,94.6,45,1:1,172,70,攻撃+2,陸上,5355,100万,0.5
627,ワシボン,Rufflet,70,83,50,37,50,60,350,ノーマル,ひこう,"するどいめ
ちからずく
(はりきり)",0.5,10.5,190,♂,70,70,攻撃+1,飛行,5355,125万,1.0
628,ウォーグル,Braviary,100,123,75,57,75,80,510,ノーマル,ひこう,"するどいめ
ちからずく
(まけんき)",1.5,41.0,60,♂,179,70,攻撃+2,飛行,5355,125万,1.0
629,バルチャイ,Vullaby,70,55,75,45,65,60,370,あく,ひこう,"はとむね
ぼうじん
(くだけるよろい)",0.5,9.0,190,♀,74,35,防御+1,飛行,5355,125万,0.0
630,バルジーナ,Mandibuzz,110,65,105,55,95,80,510,あく,ひこう,"はとむね
ぼうじん
(くだけるよろい)",1.2,39.5,60,♀,179,35,特攻+2,飛行,5355,125万,0.0
631,クイタラン,Heatmor,85,97,66,105,66,65,484,ほのお,,"くいしんぼう
もらいび
(しろいけむり)",1.4,58.0,90,1:1,169,70,特攻+2,陸上,5355,100万,0.5
632,アイアント,Durant,58,109,112,48,48,109,484,むし,はがね,"むしのしらせ
はりきり
(なまけ)",0.3,33.0,90,1:1,169,70,防御+2,虫,5355,100万,0.5
633,モノズ,Deino,52,65,50,45,50,38,300,あく,ドラゴン,はりきり,0.8,17.3,45,1:1,60,35,攻撃+1,ドラゴン,10455,125万,0.5
634,ジヘッド,Zweilous,72,85,70,65,70,58,420,あく,ドラゴン,はりきり,1.4,50.0,45,1:1,147,35,攻撃+2,ドラゴン,10455,125万,0.5
635,サザンドラ,Hydreigon,92,105,90,125,90,98,600,あく,ドラゴン,ふゆう,1.8,160.0,45,1:1,270,35,特攻+3,ドラゴン,10455,125万,0.5
636,メラルバ,Larvesta,55,85,55,50,55,60,360,むし,ほのお,"ほのおのからだ
(むしのしらせ)",1.1,28.8,45,1:1,72,70,攻撃+1,虫,10455,125万,0.5
637,ウルガモス,Volcarona,85,60,65,135,105,100,550,むし,ほのお,"ほのおのからだ
(むしのしらせ)",1.6,46.0,15,1:1,248,70,特攻+3,虫,10455,125万,0.5
638,コバルオン,Cobalion,91,90,129,90,72,108,580,はがね,かくとう,せいぎのこころ,2.1,250.0,3,不明,261,35,防御+3,未発見,20655,125万,
639,テラキオン,Terrakion,91,129,90,72,90,108,580,いわ,かくとう,せいぎのこころ,1.9,260.0,3,不明,261,35,攻撃+3,未発見,20655,125万,
640,ビリジオン,Virizion,91,90,72,90,129,108,580,くさ,かくとう,せいぎのこころ,2.0,200.0,3,不明,261,35,特防+3,未発見,20655,125万,
641,トルネロス化身,Tornadus I,79,115,70,125,80,111,580,ひこう,,"いたずらごころ
(まけんき)",1.5,63.0,3,♂,261,90,攻撃+3,未発見,30855,125万,1.0
641-1,トルネロス霊獣,Tornadus T,79,100,80,110,90,121,580,ひこう,,さいせいりょく,1.4,63.0,3,♂,261,90,素早+3,未発見,30855,125万,1.0
642,ボルトロス化身,Thundurus I,79,115,70,125,80,111,580,でんき,ひこう,"いたずらごころ
(まけんき)",1.5,61.0,3,♂,261,90,攻撃+3,未発見,30855,125万,1.0
642-1,ボルトロス霊獣,Thundurus T,79,105,70,145,80,101,580,でんき,ひこう,ちくでん,3.0,61.0,3,♂,261,90,特攻+3,未発見,30855,125万,1.0
643,レシラム,Reshiram,100,120,100,150,120,90,680,ドラゴン,ほのお,ターボブレイズ,3.2,330.0,45,不明,306,0,特攻+3,未発見,30855,125万,
644,ゼクロム,Zekrom,100,150,120,120,100,90,680,ドラゴン,でんき,テラボルテージ,2.9,345.0,45,不明,306,0,攻撃+3,未発見,30855,125万,
645,ランドロス化身,Landorus I,89,125,90,115,80,101,600,じめん,ひこう,"すなのちから
(ちからずく)",1.5,68.0,3,♂,270,90,特攻+3,未発見,30855,125万,1.0
645-1,ランドロス霊獣,Landorus T,89,145,90,105,80,91,600,じめん,ひこう,いかく,1.3,68.0,3,♂,270,90,攻撃+3,未発見,30855,125万,1.0
646,キュレム,Kyurem,125,130,90,130,90,95,660,ドラゴン,こおり,プレッシャー,3.0,325.0,3,不明,297,0,"HP+1
攻撃+1
特攻+1",未発見,30855,125万,
646-1,ブラックキュレム,Black Kyurem,125,170,100,120,90,95,700,ドラゴン,こおり,テラボルテージ,3.3,325.0,3,不明,315,0,攻撃+3,未発見,30855,125万,
646-2,ホワイトキュレム,White Kyurem,125,120,90,170,100,95,700,ドラゴン,こおり,ターボブレイズ,3.6,325.0,3,不明,315,0,特攻+3,未発見,30855,125万,
647,ケルディオ,Keldeo Ordinary,91,72,90,129,90,108,580,みず,かくとう,せいぎのこころ,1.4,48.5,3,不明,261,35,特攻+3,未発見,20655,125万,
647-1,ケルディオ覚悟,Keldeo Resolute,91,72,90,129,90,108,580,みず,かくとう,せいぎのこころ,1.4,48.5,3,不明,261,35,特攻+3,未発見,20655,125万,
648,メロエッタV,Meloetta A,100,77,77,128,128,90,600,ノーマル,エスパー,てんのめぐみ,0.6,6.5,3,不明,270,100,"特攻+1
特防+1
素早+1",未発見,30855,125万,
648-1,メロエッタS,Meloetta P,100,128,90,77,77,128,600,ノーマル,かくとう,てんのめぐみ,0.6,6.5,3,不明,270,100,"攻撃+1
防御+1
素早+1",未発見,30855,125万,
649,ゲノセクト,Genesect,71,120,95,120,95,99,600,むし,はがね,ダウンロード,1.5,82.5,3,不明,270,0,"攻撃+1
特攻+1
素早+1",未発見,30855,125万,
650,ハリマロン,Chespin,56,61,65,48,45,38,313,くさ,,"しんりょく
(ぼうだん)",0.4,9.0,45,7:1,63,70,防御+1,陸上,5355,106万,0.875
651,ハリボーグ,Quilladin,61,78,95,56,58,57,405,くさ,,"しんりょく
(ぼうだん)",0.7,29.0,45,7:1,142,70,防御+2,陸上,5355,106万,0.875
652,ブリガロン,Chesnaught,88,107,122,74,75,64,530,くさ,かくとう,"しんりょく
(ぼうだん)",1.6,90.0,45,7:1,239,70,防御+3,陸上,5355,106万,0.875
653,フォッコ,Fennekin,40,45,40,62,60,60,307,ほのお,,"もうか
(マジシャン)",0.4,9.4,45,7:1,61,70,特攻+1,陸上,5355,106万,0.875
654,テールナー,Braixen,59,59,58,90,70,73,409,ほのお,,"もうか
(マジシャン)",1.0,14.5,45,7:1,143,70,特攻+2,陸上,5355,106万,0.875
